Scenario 1 ===============================================================>

Python binary: /home/chaurasi/semesterproject/venvs/venv-graph1/bin/python
Python version: Python 3.10.4
2.8.0+cu128
12.8
True
Training Examples: 412, Val Examples: 40, Test Examples: 48
Elapsed time: 1788.7766 seconds
412
torch.Size([329500, 14])
torch.Size([129900, 14])
torch.Size([172400, 14])
Step 150, Batch Loss: 0.1167, Graph Shape: torch.Size([285700, 14]), target shape: torch.Size([2857, 1])
Step 151, Batch Loss: 0.1876, Graph Shape: torch.Size([234700, 14]), target shape: torch.Size([2347, 1])
Step 152, Batch Loss: 0.1358, Graph Shape: torch.Size([233200, 14]), target shape: torch.Size([2332, 1])
Step 153, Batch Loss: 0.2371, Graph Shape: torch.Size([207000, 14]), target shape: torch.Size([2070, 1])
Step 154, Batch Loss: 0.1103, Graph Shape: torch.Size([207000, 14]), target shape: torch.Size([2070, 1])
Step 155, Batch Loss: 0.1434, Graph Shape: torch.Size([207200, 14]), target shape: torch.Size([2072, 1])
Step 156, Batch Loss: 0.1463, Graph Shape: torch.Size([207100, 14]), target shape: torch.Size([2071, 1])
Step 157, Batch Loss: 0.1096, Graph Shape: torch.Size([207400, 14]), target shape: torch.Size([2074, 1])
Step 158, Batch Loss: 0.0933, Graph Shape: torch.Size([207200, 14]), target shape: torch.Size([2072, 1])
Step 159, Batch Loss: 0.1060, Graph Shape: torch.Size([206200, 14]), target shape: torch.Size([2062, 1])
Step 160, Batch Loss: 0.1073, Graph Shape: torch.Size([206400, 14]), target shape: torch.Size([2064, 1])
Step 161, Batch Loss: 0.1124, Graph Shape: torch.Size([206200, 14]), target shape: torch.Size([2062, 1])
Step 162, Batch Loss: 0.1238, Graph Shape: torch.Size([207400, 14]), target shape: torch.Size([2074, 1])
Step 163, Batch Loss: 0.1129, Graph Shape: torch.Size([205900, 14]), target shape: torch.Size([2059, 1])
Step 164, Batch Loss: 0.2704, Graph Shape: torch.Size([520000, 14]), target shape: torch.Size([5200, 1])
Step 165, Batch Loss: 0.3143, Graph Shape: torch.Size([275700, 14]), target shape: torch.Size([2757, 1])
Step 166, Batch Loss: 0.2978, Graph Shape: torch.Size([213200, 14]), target shape: torch.Size([2132, 1])
Step 167, Batch Loss: 0.2301, Graph Shape: torch.Size([214500, 14]), target shape: torch.Size([2145, 1])
